date,country,simd_quintile,daily_positive,cumulative_positive,daily_deaths,daily_deaths_qf,cumulative_deaths,cumulative_deaths_qf,crude_rate_deaths,crude_rate_deaths_qf,first_infections,first_infections_cumulative,reinfections,reinfections_cumulative,percent_reinfections,percent_reinfections_cumulative,year,month,day,week,weekday,season
2020-04-06,S92000003,2,88,986,14,NA,112,NA,10.33423880949569,NA,88,986,0,0,0,0,2020,4,6,14,Mon,spring
2020-04-06,S92000003,3,75,832,14,NA,90,NA,8.244166565141281,NA,75,832,0,0,0,0,2020,4,6,14,Mon,spring
2020-04-06,S92000003,4,57,848,8,NA,69,NA,6.190778252603491,NA,57,848,0,0,0,0,2020,4,6,14,Mon,spring
2020-04-06,S92000003,5,78,923,7,NA,69,NA,6.311427800467411,NA,78,923,0,0,0,0,2020,4,6,14,Mon,spring
2020-04-07,S92000003,1,95,1093,17,NA,140,NA,12.930313920314171,NA,95,1093,0,0,0,0,2020,4,7,14,Tue,spring
2020-04-07,S92000003,2,72,1058,13,NA,125,NA,11.533748671312154,NA,72,1058,0,0,0,0,2020,4,7,14,Tue,spring
2020-04-07,S92000003,3,70,902,10,NA,100,NA,9.160185072379202,NA,70,902,0,0,0,0,2020,4,7,14,Tue,spring
2020-04-07,S92000003,4,67,915,6,NA,75,NA,6.729106796308143,NA,67,915,0,0,0,0,2020,4,7,14,Tue,spring
2020-04-07,S92000003,5,44,967,3,NA,72,NA,6.585837704835559,NA,44,967,0,0,0,0,2020,4,7,14,Tue,spring
2020-04-08,S92000003,1,77,1170,20,NA,160,NA,14.777501623216194,NA,77,1170,0,0,0,0,2020,4,8,15,Wed,spring
2020-04-08,S92000003,2,74,1132,17,NA,142,NA,13.102338490610606,NA,74,1132,0,0,0,0,2020,4,8,15,Wed,spring
2020-04-08,S92000003,3,59,961,9,NA,109,NA,9.984601728893333,NA,59,961,0,0,0,0,2020,4,8,15,Wed,spring
2020-04-08,S92000003,4,73,988,5,NA,80,NA,7.177713916062019,NA,73,988,0,0,0,0,2020,4,8,15,Wed,spring
2020-04-08,S92000003,5,55,1022,2,NA,74,NA,6.768777641080992,NA,55,1022,0,0,0,0,2020,4,8,15,Wed,spring
2020-04-09,S92000003,1,82,1252,20,NA,180,NA,16.62468932611822,NA,82,1252,0,0,0,0,2020,4,9,15,Thu,spring
2020-04-09,S92000003,2,69,1201,16,NA,158,NA,14.578658320538562,NA,69,1201,0,0,0,0,2020,4,9,15,Thu,spring
2020-04-09,S92000003,3,49,1010,7,NA,116,NA,10.625814683959875,NA,49,1010,0,0,0,0,2020,4,9,15,Thu,spring
2020-04-09,S92000003,4,54,1042,16,NA,96,NA,8.613256699274423,NA,54,1042,0,0,0,0,2020,4,9,15,Thu,spring
2020-04-09,S92000003,5,48,1070,7,NA,81,NA,7.409067417940006,NA,48,1070,0,0,0,0,2020,4,9,15,Thu,spring
2020-04-10,S92000003,1,73,1325,20,NA,200,NA,18.47187702902024,NA,73,1325,0,0,0,0,2020,4,10,15,Fri,spring
2020-04-10,S92000003,2,78,1279,11,NA,169,NA,15.593628203614031,NA,78,1279,0,0,0,0,2020,4,10,15,Fri,spring
2020-04-10,S92000003,3,56,1066,7,NA,123,NA,11.26702763902642,NA,56,1066,0,0,0,0,2020,4,10,15,Fri,spring
2020-04-10,S92000003,4,64,1106,14,NA,110,NA,9.869356634585277,NA,64,1106,0,0,0,0,2020,4,10,15,Fri,spring
